ENA_term,EMO_BON_term,EMO_BON_sheet,include,units
ENA-CHECKLIST,ERC000024,not relevant,X,
TAXON_ID,tax_id,sampling,X,
scientific_name,scientific_name,sampling,Y,
SAMPLE.alias,ref_code,sequencing,X,
TITLE,source_material_id,sampling,X,
DESCRIPTION,samp_description,sampling,X,
project name,project_name,observatory,Y,
experimental factor,not relevant,not relevant,N,
ploidy,not relevant,not relevant,N,
number of replicons,not relevant,not relevant,N,
extrachromosomal elements,not relevant,not relevant,N,
estimated size,not relevant,not relevant,N,
reference for biomaterial,not relevant,not relevant,N,
annotation source,not relevant,not relevant,N,
sample volume or weight for DNA extraction,samp_vol_we_dna_ext,sequencing,N,
nucleic acid extraction,nucl_acid_ext,sequencing,Y,
nucleic acid amplification,nucl_acid_amp,sequencing,Y,
library size,not relevant,not relevant,N,
library reads sequenced,lib_reads_seqd,sequencing,Y,
library construction method,not relevant,not relevant,N,
library vector,not relevant,not relevant,N,
library screening strategy,not relevant,not relevant,N,
target gene,target_gene,sequencing,Y,
target subfragment,target_subfragment,sequencing,Y,
pcr primers,pcr_primers,sequencing,Y,
multiplex identifiers,mid,sequencing,Y,
adapters,adapters,sequencing,Y,
pcr conditions,pcr_cond,sequencing,Y,
sequencing method,seq_meth,sequencing,Y,
sequence quality check,seq_quality_check,sequencing,Y,
chimera check software,not relevant,not relevant,N,
relevant electronic resources,url_seq,sequencing,Y,
relevant standard operating procedures,sop_seq,sequencing,Y,
negative control type,not relevant,not relevant,N,
positive control type,not relevant,not relevant,N,
collection date,collection_date,sampling,Y,
altitude,not relevant,not relevant,N,
geographic location (country and/or sea),geo_loc_name,observatory,Y,
geographic location (latitude),latitude,observatory,Y,DD
geographic location (longitude),longitude,observatory,Y,DD
geographic location (region and locality),loc_regional,observatory,Y,
geographic location (ocean),loc_broad_ocean,observatory,Y,
geographic location (locality),loc_loc,observatory,Y,
depth,depth,sampling,Y,m
broad-scale environmental context,env_broad_biome,observatory,Y,
local environmental context,env_local,observatory,Y,
environmental medium,env_material,sampling,Y,
elevation,not relevant,not relevant,N,
source material identifiers,source_mat_id,sampling,Y,
sample material processing,samp_mat_process,sampling,Y,
isolation and growth condition,not relevant,not relevant,N,
propagation,not relevant,not relevant,N,
amount or size of sample collected,samp_size_vol,sampling,Y,L
biomass,biomass,measured,Y,g
density,density,measured,Y,g/m3
oxygenation status of sample,not relevant,not relevant,N,
organism count,organism_count,measured,Y,
sample storage duration,not relevant,not relevant,N,
sample storage temperature,samp_store_temp,sampling,Y,°C
sample storage location,samp_store_loc,sampling,Y,
sample collection device,samp_collect_device,sampling,Y,
sample collection method,samp_mat_process,sampling,Y,
host disease status,not relevant,not relevant,N,
host scientific name,not relevant,not relevant,N,
alkalinity,alkalinity,measured,Y,mEq/L
atmospheric data,atmospheric_data,measured,N,
conductivity,conduc,measured,Y,mS/cm
